,cell_id,GEOID10,state_FIPS,county_FIPS,CBSA,CBSA_Name,area,cbg_area_shr,county_loc,CBSA_type,CBSA_name,sf_res_suit_lc,other_suit_lc,developable_acres,protected_acres,BOAT_LEN_2,BOAT_LEN_3,BOAT_LEN_4,BOAT_LEN_5,BRIDGE_AREA_2,BRIDGE_AREA_3,BRIDGE_AREA_4,BRIDGE_AREA_5,CTRL_AREA_2,CTRL_AREA_3,CTRL_AREA_4,CTRL_AREA_5,ROAD_AREA_2,ROAD_AREA_3,ROAD_AREA_4,ROAD_AREA_5,TOLL_AREA_2,TOLL_AREA_3,TOLL_AREA_4,TOLL_AREA_5,population,jobs,act24
0,GP-444,410030104003,41,003,18700,"Corvallis, OR",46.695388624044874,0.0013955107619264614,central,metro,"Corvallis, OR",16.0,0.0,3.5583120000000004,0.0,,,,0.0,,,,0.0,,,,0.0,,,,6.225661086290632,,,,0.0,7.244695347479074,0.0,7.244695347479074
1,GQ-444,410030104003,41,003,18700,"Corvallis, OR",140.92281865067557,0.004211535995799871,central,metro,"Corvallis, OR",28.0,10.0,6.2270460000000005,0.0,,,,0.0,,,,0.0,,,,0.0,,,,11.738821008472854,,,,0.0,14.802569189694596,9.585492227979273,24.388061417673867
2,GN-443,410030104003,41,003,18700,"Corvallis, OR",178.0366196099631,0.00532069709673164,central,metro,"Corvallis, OR",24.0,3.0,5.337468,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,6.893863935686132,,8.866204382864016,,0.0,,0.0,11.504348720700476,2.8756476683937824,14.379996389094257
3,GO-443,410030104003,41,003,18700,"Corvallis, OR",272.3812881223714,0.008140226050638986,central,metro,"Corvallis, OR",31.0,0.0,6.894229500000001,0.0,,0.0,,,,0.0,,,,0.0,,,,10.569711495008189,,,,0.0,,,14.036597235740706,0.0,14.036597235740706
4,GP-443,410030104003,41,003,18700,"Corvallis, OR",319.99843319844734,0.009563283880629084,central,metro,"Corvallis, OR",59.0,4.0,13.121275500000001,0.0,,,,0.0,,,,0.0,,,,0.0,,,,31.285810748893212,,,,0.0,27.56455502647157,3.83419689119171,31.39875191766328
5,GQ-443,410030104003,41,003,18700,"Corvallis, OR",319.99948409818114,0.009563315287196873,central,metro,"Corvallis, OR",63.0,1.0,14.010853500000001,0.0,,,,0.0,,,,0.0,,,,0.0,,,,25.636065934322787,,,,0.0,28.738423163859476,0.9585492227979275,29.696972386657404
6,GR-443,410030104003,41,003,18700,"Corvallis, OR",319.9995018116277,0.009563315816570458,central,metro,"Corvallis, OR",26.0,4.0,5.782257,0.0,,,,0.0,,,,0.0,,,,0.0,,,,11.690618742331676,,,,0.0,12.622370872295981,3.83419689119171,16.45656776348769
7,GK-442,410030104003,41,003,18700,"Corvallis, OR",214.61296507378574,0.006413796120655839,central,metro,"Corvallis, OR",7.0,0.0,1.5567615000000001,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,3.1695542145220945,0.0,3.1695542145220945
8,GL-442,410030104003,41,003,18700,"Corvallis, OR",302.12991501817874,0.009029275916352214,central,metro,"Corvallis, OR",59.0,3.0,13.121275500000001,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,18.26713969353905,0.0,,,0.0,0.0,27.352119793310948,2.8756476683937824,30.22776746170473
9,GN-442,410030104003,41,003,18700,"Corvallis, OR",319.9995220973401,0.009563316422817261,central,metro,"Corvallis, OR",153.0,0.0,34.0263585,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,27.096165141384457,,18.70347363684388,,0.0,,0.0,69.27739926026864,0.0,69.27739926026864
